Source: CPS Basic Monthly 202107
Weight used: PWCMPWGT
"Universe: selected geographies: Bronx County, New York, Kings County, New York, New York County, New York, Queens County, New York, Richmond County, New York"
"","Indus.&Occ.-(main job)class of worker (PEIO1COW)","","","","","","","","",""
"Demographics- race of respondent (PTDTRACE)","Total","Not in Universe","Government - Federal","Government - State","Government - Local","Private, For Profit","Private, Nonprofit","Self-Employed, Incorporated","Self-Employed, Unincorporated","Without Pay"
" -> Total","6592493","2700455","66124","125262","333078","2745687","324949","68354","228584","0"
" -> Total -> Total Bronx County, New York","1193718","531726","4669","29273","43045","493735","43043","4132","44095","0"
" -> Total -> Total Bronx County, New York -> Total In Universe, Met No Conditions To Assign","531726","531726","0","0","0","0","0","0","0","0"
"White only","243030","243030","0","0","0","0","0","0","0","0"
"Black only","218456","218456","0","0","0","0","0","0","0","0"
"American Indian, Alaskan Native Only","15178","15178","0","0","0","0","0","0","0","0"
"Asian only","55062","55062","0","0","0","0","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Management occupations","57106","0","0","0","0","52548","4558","0","0","0"
"White only","32370","0","0","0","0","27812","4558","0","0","0"
"Black only","14427","0","0","0","0","14427","0","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
"Asian only","3749","0","0","0","0","3749","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","6560","0","0","0","0","6560","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Business and financial operations occupations","10471","0","0","0","0","10471","0","0","0","0"
"White only","0","0","0","0","0","0","0","0","0","0"
