Source: CPS Basic Monthly 202108
Weight used: PWCMPWGT
"Universe: selected geographies: Bronx County, New York, Kings County, New York, New York County, New York, Queens County, New York, Richmond County, New York"
"","Indus.&Occ.-(main job)class of worker (PEIO1COW)","","","","","","","","",""
"Demographics- race of respondent (PTDTRACE)","Total","Not in Universe","Government - Federal","Government - State","Government - Local","Private, For Profit","Private, Nonprofit","Self-Employed, Incorporated","Self-Employed, Unincorporated","Without Pay"
" -> Total","6585779","2700389","54095","128281","356714","2731516","322206","84545","208033","0"
" -> Total -> Total Bronx County, New York","1139946","510756","8681","30335","67660","469224","16757","10671","25862","0"
" -> Total -> Total Bronx County, New York -> Total In Universe, Met No Conditions To Assign","510756","510756","0","0","0","0","0","0","0","0"
"White only","217701","217701","0","0","0","0","0","0","0","0"
"Black only","225020","225020","0","0","0","0","0","0","0","0"
"American Indian, Alaskan Native Only","44499","44499","0","0","0","0","0","0","0","0"
"Asian only","23536","23536","0","0","0","0","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Management occupations","54137","0","0","0","19799","34338","0","0","0","0"
"White only","19872","0","0","0","0","19872","0","0","0","0"
"Black only","28723","0","0","0","19799","8924","0","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
