Source: CPS Basic Monthly 202202
Weight used: PWCMPWGT
"Universe: selected geographies: Bronx County, New York, Kings County, New York, New York County, New York, Queens County, New York, Richmond County, New York"
"","Indus.&Occ.-(main job)class of worker (PEIO1COW)","","","","","","","","",""
"Demographics- race of respondent (PTDTRACE)","Total","Not in Universe","Government - Federal","Government - State","Government - Local","Private, For Profit","Private, Nonprofit","Self-Employed, Incorporated","Self-Employed, Unincorporated","Without Pay"
" -> Total","6721879","2769238","43041","47415","305421","2881262","309736","123608","242158","0"
" -> Total -> Total Bronx County, New York","791398","403164","4409","0","50153","262535","37481","4257","29399","0"
" -> Total -> Total Bronx County, New York -> Total In Universe, Met No Conditions To Assign","403164","403164","0","0","0","0","0","0","0","0"
"White only","127981","127981","0","0","0","0","0","0","0","0"
"Black only","216674","216674","0","0","0","0","0","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
"Asian only","37255","37255","0","0","0","0","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","15959","15959","0","0","0","0","0","0","0","0"
"White-AI","5295","5295","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Management occupations","37519","0","0","0","4872","32647","0","0","0","0"
"White only","22555","0","0","0","0","22555","0","0","0","0"
"Black only","10116","0","0","0","4872","5244","0","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
"Asian only","4848","0","0","0","0","4848","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Business and financial operations occupations","11571","0","0","0","0","11571","0","0","0","0"
"White only","0","0","0","0","0","0","0","0","0","0"
"Black only","11571","0","0","0","0","11571","0","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
"Asian only","0","0","0","0","0","0","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Computer and mathematical science occupations","3981","0","0","0","0","3981","0","0","0","0"
"White only","0","0","0","0","0","0","0","0","0","0"
"Black only","0","0","0","0","0","0","0","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
"Asian only","3981","0","0","0","0","3981","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Architecture and engineering occupations","0","0","0","0","0","0","0","0","0","0"
"White only","0","0","0","0","0","0","0","0","0","0"
"Black only","0","0","0","0","0","0","0","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
"Asian only","0","0","0","0","0","0","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Life, physical, and social service occupations","9565","0","0","0","4712","4853","0","0","0","0"
"White only","9565","0","0","0","4712","4853","0","0","0","0"
"Black only","0","0","0","0","0","0","0","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
"Asian only","0","0","0","0","0","0","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Community and social service occupations","20311","0","0","0","0","10266","10045","0","0","0"
"White only","9389","0","0","0","0","4705","4684","0","0","0"
"Black only","10922","0","0","0","0","5561","5361","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
"Asian only","0","0","0","0","0","0","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Legal occupations","0","0","0","0","0","0","0","0","0","0"
"White only","0","0","0","0","0","0","0","0","0","0"
"Black only","0","0","0","0","0","0","0","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
"Asian only","0","0","0","0","0","0","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Education, training, and library occupations","16963","0","0","0","12011","0","4952","0","0","0"
"White only","4952","0","0","0","0","0","4952","0","0","0"
"Black only","12011","0","0","0","12011","0","0","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
"Asian only","0","0","0","0","0","0","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Arts, design, entertainment, sports, and media occupations","0","0","0","0","0","0","0","0","0","0"
"White only","0","0","0","0","0","0","0","0","0","0"
"Black only","0","0","0","0","0","0","0","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
"Asian only","0","0","0","0","0","0","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Healthcare practitioner and technical occupations","6876","0","0","0","6876","0","0","0","0","0"
"White only","6876","0","0","0","6876","0","0","0","0","0"
"Black only","0","0","0","0","0","0","0","0","0","0"
"American Indian, Alaskan Native Only","0","0","0","0","0","0","0","0","0","0"
"Asian only","0","0","0","0","0","0","0","0","0","0"
