Source: CPS Basic Monthly 202110
Weight used: PWCMPWGT
"Universe: selected geographies: Bronx County, New York, Kings County, New York, New York County, New York, Queens County, New York, Richmond County, New York"
"","Indus.&Occ.-(main job)class of worker (PEIO1COW)","","","","","","","","",""
"Demographics- race of respondent (PTDTRACE)","Total","Not in Universe","Government - Federal","Government - State","Government - Local","Private, For Profit","Private, Nonprofit","Self-Employed, Incorporated","Self-Employed, Unincorporated","Without Pay"
" -> Total","6572373","2637753","41176","94310","298562","2915535","282708","91922","210407","0"
" -> Total -> Total Bronx County, New York","935491","447566","4082","15014","45103","377159","35393","0","11174","0"
" -> Total -> Total Bronx County, New York -> Total In Universe, Met No Conditions To Assign","447566","447566","0","0","0","0","0","0","0","0"
"White only","189801","189801","0","0","0","0","0","0","0","0"
"Black only","206005","206005","0","0","0","0","0","0","0","0"
"American Indian, Alaskan Native Only","41816","41816","0","0","0","0","0","0","0","0"
"Asian only","9944","9944","0","0","0","0","0","0","0","0"
"Hawaiian/Pacific Islander Only","0","0","0","0","0","0","0","0","0","0"
"White-Black","0","0","0","0","0","0","0","0","0","0"
"White-AI","0","0","0","0","0","0","0","0","0","0"
"White-Asian","0","0","0","0","0","0","0","0","0","0"
"White-HP","0","0","0","0","0","0","0","0","0","0"
"Black-AI","0","0","0","0","0","0","0","0","0","0"
"Black-Asian","0","0","0","0","0","0","0","0","0","0"
"Black-HP","0","0","0","0","0","0","0","0","0","0"
"AI-Asian","0","0","0","0","0","0","0","0","0","0"
"AI-HP","0","0","0","0","0","0","0","0","0","0"
"Asian-HP","0","0","0","0","0","0","0","0","0","0"
"W-B-AI","0","0","0","0","0","0","0","0","0","0"
"W-B-A","0","0","0","0","0","0","0","0","0","0"
"W-B-HP","0","0","0","0","0","0","0","0","0","0"
"W-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-HP","0","0","0","0","0","0","0","0","0","0"
"W-A-HP","0","0","0","0","0","0","0","0","0","0"
"B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-B-AI-A","0","0","0","0","0","0","0","0","0","0"
"W-AI-A-HP","0","0","0","0","0","0","0","0","0","0"
"Other 3 Race Combinations","0","0","0","0","0","0","0","0","0","0"
"Other 4 and 5 Race Combinations","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total Bronx County, New York -> Total Management occupations","14289","0","0","0","0","14289","0","0","0","0"
"White only","4241","0","0","0","0","4241","0","0","0","0"
