Year,Quarter,Quarterly Establishments,Third Month Employment,Average Weekly Wage,Third Month Employment Location Quotient,Average Weekly Wage Location Quotient,Third Month Employment Change Over the Year,Third Month Employment % Change Over the Year,Average Weekly Wage Change Over the Year,Average Weekly Wage % Change Over the Year
2019,1,126261,2277539,3312,1.07,1.04,62354,0.028,59,0.018
2019,2,127518,2307608,2152,1.06,1.03,59655,0.027,89,0.043
2019,3,128008,2290778,2100,1.06,1.03,63164,0.028,58,0.028
2019,4,128628,2344341,2583,1.07,1.03,56223,0.025,111,0.045
2020,1,129964,2260365,3448,1.07,1.04,-17174,-0.008,136,0.041
2020,2,128378,1818861,2517,1.05,1.04,-488747,-0.212,365,0.17
2020,3,128162,1877308,2430,1.05,1.04,-413470,-0.18,330,0.157
2020,4,128382,1933627,3191,1.05,1.04,-410714,-0.175,608,0.235
2021,1,124733,1906184,4238,1.05,1.05,-354181,-0.157,790,0.229
2021,2,123481,1963015,2643,1.05,1.04,144154,0.079,126,0.05
2021,3,122854,2009039,2574,1.06,1.03,131731,0.07,144,0.059
2021,4,126486,2112892,3393,1.06,1.04,179265,0.093,202,0.063
2022,1,126739,2095604,4316,1.06,1.04,189420,0.099,78,0.018
2022,2,123791,2156100,2602,1.06,1.03,193085,0.098,-41,-0.016
2022,3,125827,2163211,2608,1.06,1.03,154172,0.077,34,0.013
