,Year,Industry,Opened Licenses
0,2023,Third Party Food Delivery,2
1,2023,General Vendor,20
2,2023,Car Wash,8
3,2023,Locksmith,37
4,2023,Ticket Seller,44
5,2023,Garage,37
6,2023,Electronic Cigarette Dealer,18
7,2023,Construction Labor Provider,2
8,2023,Garage and Parking Lot,10
9,2023,Ticket Seller Business,6
10,2023,Electronics Store,132
11,2023,Secondhand Dealer - General,82
12,2023,Scrap Metal Processor,3
13,2023,Process Server Individual,16
14,2023,Parking Lot,5
15,2023,Bingo Game Operator,1
16,2023,Stoop Line Stand,65
17,2023,Tow Truck Driver,135
18,2023,Employment Agency,6
19,2023,Pawnbroker,6
20,2023,Games of Chance,4
21,2023,Newsstand,4
22,2023,Dealer In Products,61
23,2023,Process Serving Agency,1
24,2023,Tow Truck Company,18
25,2023,Tobacco Retail Dealer,47
26,2023,Debt Collection Agency,5
27,2023,Horse Drawn Cab Owner,5
28,2023,Storage Warehouse,1
29,2023,Electronic & Appliance Service,65
30,2023,Home Improvement Contractor,305
31,2023,Secondhand Dealer - Auto,17
32,2023,Pedicab Driver,109
33,2023,Sightseeing Guide,57
34,2023,Horse Drawn Driver,3
35,2023,Locksmith Apprentice,1
36,2022,Tobacco Retail Dealer,300
37,2022,Electronic & Appliance Service,171
38,2022,General Vendor,171
39,2022,Auctioneer,3
40,2022,Dealer In Products,149
41,2022,Tow Truck Driver,268
42,2022,Car Wash,27
43,2022,Sightseeing Bus,1
44,2022,Employment Agency,27
45,2022,Debt Collection Agency,13
46,2022,Electronics Store,263
47,2022,Parking Lot,29
48,2022,Horse Drawn Cab Owner,8
49,2022,Garage,190
50,2022,Pawnbroker,24
51,2022,Tow Truck Company,21
52,2022,Stoop Line Stand,227
53,2022,Scrap Metal Processor,12
54,2022,Secondhand Dealer - General,357
55,2022,Garage and Parking Lot,35
56,2022,Construction Labor Provider,16
57,2022,Pedicab Driver,375
58,2022,Third Party Food Delivery,11
59,2022,Amusement Device Temporary,4
60,2022,Auction House Premises,2
61,2022,Scale Dealer Repairer,1
62,2022,Secondhand Dealer - Auto,44
63,2022,Pedicab Business,26
64,2022,Home Improvement Contractor,1047
65,2022,Laundries,5
66,2022,Games of Chance,2
67,2022,Ticket Seller Business,8
68,2022,Locksmith,77
69,2022,Process Server Individual,68
70,2022,Storage Warehouse,2
71,2022,Electronic Cigarette Dealer,114
72,2022,Newsstand,20
73,2022,Ticket Seller,167
74,2022,Sightseeing Guide,182
75,2022,Process Serving Agency,4
76,2022,Horse Drawn Driver,12
77,2022,Booting Company,1
78,2021,Electronic & Appliance Service,151
79,2021,Gaming Cafe,2
80,2021,Auctioneer,15
81,2021,Amusement Arcade,4
82,2021,Locksmith,71
83,2021,Process Serving Agency,5
84,2021,Tow Truck Driver,180
