,Year,Industry,Opened Licenses
0,2023,Electronic Cigarette Dealer,15
1,2023,Garage and Parking Lot,10
2,2023,Ticket Seller Business,6
3,2023,Electronics Store,95
4,2023,Process Server Individual,12
5,2023,Employment Agency,4
6,2023,Newsstand,4
7,2023,Tow Truck Company,13
8,2023,Tobacco Retail Dealer,36
9,2023,Storage Warehouse,1
10,2023,Home Improvement Contractor,205
11,2023,Pedicab Driver,92
12,2023,Secondhand Dealer - Auto,11
13,2023,Locksmith Apprentice,1
14,2023,General Vendor,15
15,2023,Car Wash,6
16,2023,Locksmith,22
17,2023,Ticket Seller,40
18,2023,Garage,29
19,2023,Third Party Food Delivery,2
20,2023,Construction Labor Provider,2
21,2023,Secondhand Dealer - General,57
22,2023,Scrap Metal Processor,2
23,2023,Parking Lot,5
24,2023,Stoop Line Stand,51
25,2023,Tow Truck Driver,95
26,2023,Pawnbroker,6
27,2023,Process Serving Agency,1
28,2023,Games of Chance,1
29,2023,Dealer In Products,36
30,2023,Horse Drawn Cab Owner,5
31,2023,Debt Collection Agency,5
32,2023,Electronic & Appliance Service,46
33,2023,Sightseeing Guide,45
34,2023,Horse Drawn Driver,3
35,2022,Electronic & Appliance Service,135
36,2022,General Vendor,116
37,2022,Auctioneer,2
38,2022,Debt Collection Agency,11
39,2022,Electronics Store,201
40,2022,Parking Lot,22
41,2022,Garage,157
42,2022,Pawnbroker,21
43,2022,Secondhand Dealer - General,267
44,2022,Garage and Parking Lot,30
45,2022,Construction Labor Provider,13
46,2022,Pedicab Driver,305
47,2022,Secondhand Dealer - Auto,27
48,2022,Scale Dealer Repairer,1
49,2022,Ticket Seller Business,7
50,2022,Locksmith,59
51,2022,Process Server Individual,50
52,2022,Sightseeing Guide,152
53,2022,Process Serving Agency,2
54,2022,Tobacco Retail Dealer,211
55,2022,Dealer In Products,100
56,2022,Tow Truck Driver,190
57,2022,Car Wash,19
58,2022,Sightseeing Bus,1
59,2022,Employment Agency,19
60,2022,Horse Drawn Cab Owner,7
61,2022,Tow Truck Company,13
62,2022,Stoop Line Stand,159
63,2022,Scrap Metal Processor,6
64,2022,Third Party Food Delivery,9
65,2022,Amusement Device Temporary,4
66,2022,Auction House Premises,1
67,2022,Home Improvement Contractor,673
68,2022,Laundries,4
69,2022,Games of Chance,1
70,2022,Pedicab Business,19
71,2022,Storage Warehouse,2
72,2022,Electronic Cigarette Dealer,81
73,2022,Newsstand,20
