,Year,Opened Licenses
0,1977,1
1,1981,1
2,1982,1
3,1984,2
4,1985,2
5,1986,9
6,1987,9
7,1988,18
8,1989,16
9,1990,17
10,1991,19
11,1992,22
12,1993,35
13,1994,762
14,1995,1256
15,1996,1466
16,1997,2099
17,1998,1687
18,1999,1911
19,2000,6126
20,2001,4766
21,2002,6316
22,2003,8965
23,2004,7329
24,2005,7494
25,2006,9162
26,2007,8158
27,2008,7579
28,2009,8180
29,2010,8347
30,2011,8573
31,2012,8909
32,2013,8404
33,2014,7262
34,2015,7576
35,2016,7452
36,2017,9200
37,2018,9115
38,2019,5692
39,2020,2284
40,2021,2863
41,2022,3269
42,2023,979
