,industry,2014,2015,2016,2017,2018,2019,2020,2021
1,Self-employed persons,9358.0,9508.0,9604.0,9525.0,9707.0,9539.0,9253.0,9956.0
2,"Agriculture, forestry, fishing, and hunting",757.0,843.0,852.0,790.0,766.0,741.0,741.0,737.0
3,Farms,680.0,760.0,771.0,711.0,684.0,664.0,669.0,669.0
4,"Forestry, fishing and related activities",77.0,83.0,81.0,79.0,82.0,77.0,72.0,68.0
5,Mining,20.0,20.0,17.0,11.0,9.0,14.0,10.0,13.0
7,Construction,1595.0,1611.0,1628.0,1567.0,1650.0,1671.0,1568.0,1703.0
8,Manufacturing,279.0,286.0,267.0,282.0,258.0,263.0,268.0,267.0
9,Durable goods,176.0,168.0,162.0,168.0,158.0,167.0,154.0,155.0
10,Nondurable goods,103.0,118.0,105.0,114.0,100.0,96.0,114.0,112.0
11,Wholesale trade,140.0,136.0,168.0,125.0,110.0,115.0,127.0,141.0
12,Retail trade,709.0,737.0,722.0,713.0,702.0,652.0,648.0,691.0
13,Transportation and warehousing,368.0,397.0,418.0,452.0,443.0,546.0,520.0,607.0
14,Information,128.0,161.0,120.0,143.0,144.0,139.0,142.0,154.0
15,"Finance and insurance, real estate, rental, and leasing",627.0,624.0,688.0,665.0,724.0,678.0,746.0,838.0
16,Professional and business services,1988.0,1938.0,2070.0,2103.0,2053.0,1981.0,1924.0,2060.0
17,"Educational services, health care, and social assistance",1074.0,1069.0,1038.0,985.0,1072.0,1034.0,1000.0,1059.0
18,"Arts, entertainment, recreation, accommodation, and food services",658.0,698.0,667.0,684.0,701.0,683.0,605.0,645.0
19,"Other services, except government",1015.0,988.0,949.0,1005.0,1075.0,1022.0,954.0,1041.0
